"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,,,,
9.919625,2.244542,25,25,1,16,16,1,64,8.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","21","void MatrixMulCUDA<int=4, int=4>(float*, float*, float*, int)",448
9.921878,2.237725,25,25,1,16,16,1,64,8.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","21","void MatrixMulCUDA<int=4, int=4>(float*, float*, float*, int)",451
9.924131,1.571509,,,,,,,,,,9.765625,6.068526,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","21","[CUDA memcpy DtoH]",455
9.945104,1.596821,,,,,,,,,,9.765625,5.972331,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","22","[CUDA memcpy HtoD]",470
9.945120,0.035520,,,,,,,,,,9.765625,268.489391,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",472
9.946703,1.576341,,,,,,,,,,9.765625,6.049924,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","22","[CUDA memcpy HtoD]",471
9.948285,2.748676,20,17,1,16,16,1,72,11.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","22","void MatrixMulCUDA<int=5, int=6>(float*, float*, float*, int)",473
9.951042,2.746948,20,17,1,16,16,1,72,11.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","22","void MatrixMulCUDA<int=5, int=6>(float*, float*, float*, int)",476
9.953806,1.571477,,,,,,,,,,9.765625,6.068650,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","22","[CUDA memcpy DtoH]",480
9.974687,1.636726,,,,,,,,,,9.765625,5.826719,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","23","[CUDA memcpy HtoD]",495
9.974703,0.035457,,,,,,,,,,9.765625,268.966443,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",497
9.976325,1.575956,,,,,,,,,,9.765625,6.051402,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","23","[CUDA memcpy HtoD]",496
9.977907,2.140220,17,17,1,16,16,1,96,12.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","23","void MatrixMulCUDA<int=6, int=6>(float*, float*, float*, int)",498
9.980058,2.132924,17,17,1,16,16,1,96,12.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","23","void MatrixMulCUDA<int=6, int=6>(float*, float*, float*, int)",501
9.982208,1.571445,,,,,,,,,,9.765625,6.068773,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","23","[CUDA memcpy DtoH]",505
